doctor_id,first_name,last_name,specialty,phone_number
1,Lauren,Galloway,Gynecologist,9717690284
2,Sharon,Cruz,Orthopedic,7206937333
3,Mary,Powers,Oncologist,9721881675
4,Kimberly,Ferguson,Oncologist,9553957387
5,Lisa,Smith,Radiologist,8645831777
6,Donald,Daniel,Cardiologist,9174382385
7,Jonathan,Carey,Orthopedic,7717337453
8,Daniel,Green,Pediatrician,9128771038
9,Donald,Jimenez,Pediatrician,7042881743
10,Jeremy,Mitchell,Cardiologist,9720676782
11,Candice,Decker,Gynecologist,8064288075
12,James,Horton,Surgeon,8426858927
13,Thomas,Andrews,Gynecologist,7003604156
14,Michelle,Miranda,Surgeon,9739479805
15,Ashley,Mosley,Dermatologist,7269696287
16,Gregory,Jordan,Surgeon,7470163879
17,Erik,Mendoza,Orthopedic,8240859017
18,Kelli,Potter,Psychiatrist,8256042712
19,Jill,Saunders,Orthopedic,7440415570
20,Bryan,Garcia,Radiologist,9459830551
21,Joshua,George,Gynecologist,7820229343
22,Bridget,Curtis,Psychiatrist,8125755838
23,Karen,Bennett,Psychiatrist,7307344668
24,William,Fritz,Oncologist,9839132017
25,Michael,Scott,Oncologist,7861949863
26,Aaron,Ramsey,Orthopedic,7123785958
27,Jesus,Lynch,Oncologist,9555382142
28,Christine,Miller,Cardiologist,9243473192
29,Matthew,Decker,Gynecologist,9184361373
30,Melissa,Chavez,Dermatologist,9157981590
31,Edward,Frederick,Surgeon,7954304639
32,Cassidy,Thomas,Orthopedic,9438294710
33,Sara,Anderson,Orthopedic,8211404568
34,William,Williams,Surgeon,8816230024
35,Tony,Galvan,Psychiatrist,8973172683
36,Heather,Ross,Gynecologist,7959958575
37,Carol,Delgado,Gynecologist,9668660124
38,Bradley,Mosley,Cardiologist,7986829425
39,Brianna,Wright,Orthopedic,8924844948
40,Anna,Burgess,Pediatrician,8426214269
41,Matthew,Peterson,Pediatrician,8758587161
42,Michelle,Martin,Cardiologist,7323058843
43,Benjamin,Webb,Psychiatrist,8962643566
44,Joseph,Martinez,Orthopedic,8900078061
45,Nicholas,Cruz,Psychiatrist,8210940895
46,James,Wright,Gynecologist,7051246314
47,Walter,Bates,Psychiatrist,8615127121
48,Carolyn,Matthews,Pediatrician,7689454891
49,Jared,Chapman,Cardiologist,8266850943
50,Nicholas,Wilson,Gynecologist,9370817946
